Taxonomy	EUB11	EUB12	EUBA1	EUBA10	EUBA11	EUBA12	EUBA2	EUBA3	EUBA4	EUBA5	EUBA6	EUBA7	EUBA8	EUBA9	EUBB1	EUBB10	EUBB11	EUBB2	EUBB3	EUBB4	EUBB5	EUBB7	EUBB8	EUBB9	EUBC1	EUBC10	EUBC11	EUBC12	EUBC2	EUBC3	EUBC4	EUBC5	EUBC6	EUBC8	EUBC9	EUBD1	EUBD10	EUBD11	EUBD12	EUBD2	EUBD3	EUBD4	EUBD5	EUBD6	EUBD7	EUBD8	EUBD9	EUBE1	EUBE2	EUBE3	EUBE4	EUBE5	EUBE6	EUBE7	EUBE8	EUBF1	EUBF11	EUBF12	EUBF2	EUBF3	EUBF4	EUBF5	EUBF6	EUBF7	EUBF8	EUBG1	EUBG11	EUBG12	EUBG2	EUBG3	EUBG4	EUBG5	EUBG6	EUBG7	EUBG8	EUBH1	EUBH2	EUBH3	EUBH4	EUBH5	EUBH6	EUBH7	EUBH8	EUBH9
d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	35	2452	0	0	0	0	0	0	0	0	79	2099	0	0	214	37	0	21	16	0	0	0	65	0	0	35	62	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;s__	0	0	0	0	0	0	0	0	0	0	0	0	602	918	0	0	0	0	0	0	0	370	700	481	0	0	0	0	0	0	0	0	0	441	162	0	0	0	0	0	0	0	0	0	70	92	484	0	0	0	136	387	0	63	112	0	0	0	0	0	0	212	0	46	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS 17;g__NA;s__	0	0	56	0	0	0	146	37	340	18	0	0	0	0	0	0	0	36	71	199	143	0	0	0	1030	0	0	0	177	121	241	244	33	0	0	50	0	0	0	247	184	801	279	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	372	0	19	16	0	0	0	0	0	20	37	66	18
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Leadbetterella;s__	0	0	0	35	0	0	0	0	0	0	0	0	1083	0	0	0	0	0	0	0	79	152	437	10	55	15	0	0	18	0	9	66	34	0	244	12	248	0	0	47	12	24	124	143	744	1148	203	0	0	0	62	24	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Simplicispira;s__	0	49	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	367	144	361	554	0	0	0	308	0	0	43	141	64	33	0	0	0	0	853	0	0	184	355	195	243	150	34	0	0	0	0	0	0	0	0	0	0	0	84	0	70	0	0	0	0	0	0	0	0	0	66	0	217	0	0	0	67	0	75	69	9	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__NA;s__	0	0	0	1078	0	0	0	0	0	0	0	0	0	0	0	1087	0	0	0	0	0	0	0	0	0	1472	0	0	0	0	0	0	0	0	0	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	23	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__JGI 0001001-H03;s__	0	0	0	0	26	15	23	11	0	0	0	0	0	0	0	0	216	0	0	33	216	0	0	0	0	0	170	40	0	31	72	39	192	0	0	0	0	80	31	0	0	0	17	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	34	129	333	356	372	0	0	4	16	141	745	309	452	348
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae;g__Defluviicoccus;s__	0	0	1283	0	0	0	659	198	636	40	19	0	0	0	319	0	23	312	186	152	150	0	0	0	184	0	0	0	76	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	98	83	0	0	0	0	20	75	11	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	360	531	982	0	0	0	0	0	0	0	0	0	431	625	275	0	0	0	0	0	0	0	29	687	70	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__OLB12;s__	0	0	0	0	0	0	0	0	0	0	0	0	8	119	44	111	0	37	52	571	6	10	18	51	171	0	0	0	296	272	524	0	0	27	36	217	0	0	0	339	231	434	11	19	0	0	0	48	36	22	28	48	0	0	0	39	0	0	126	119	0	13	0	0	0	19	0	0	171	14	23	0	11	15	11	19	11	20	41	0	15	8	11	11
