functionality	function_total	domain	phylum	class	order	family	genus	species	count	order_total
aerobic_chemoheterotrophy	1409	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter		6	209
aerobic_chemoheterotrophy	1409	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter		8	209
aerobic_chemoheterotrophy	1409	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter		1	209
aerobic_chemoheterotrophy	1409	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		28	209
aerobic_chemoheterotrophy	1409	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas		11	89
aerobic_chemoheterotrophy	1409	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas		1	89
aerobic_chemoheterotrophy	1409	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas		9	89
aerobic_chemoheterotrophy	1409	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter		6	12
aerobic_chemoheterotrophy	1409	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia		1	271
aerobic_chemoheterotrophy	1409	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Brevifollis		5	271
aerobic_chemoheterotrophy	1409	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	NA		40	271
aerobic_chemoheterotrophy	1409	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter		73	271
aerobic_chemoheterotrophy	1409	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium		10	271
aerobic_chemoheterotrophy	1409	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium		3	271
human_pathogens_all	23	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		16	104
human_pathogens_all	23	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia		6	403
human_pathogens_all	23	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas		1	89
human_gut	6	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae			2	53
human_gut	6	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus		1	53
human_gut	6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter		3	49
human_associated	29	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae			2	53
human_associated	29	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus		1	53
